Name 	 Repo
django	django/django
sentry	getsentry/sentry
realworld	gothinkster/realworld
django-rest-framework	encode/django-rest-framework
awesome-django	rosarior/awesome-django
Zappa	Miserlou/Zappa
django-cms	divio/django-cms
wagtail	wagtail/wagtail
django-debug-toolbar	jazzband/django-debug-toolbar
graphite-web	graphite-project/graphite-web
taiga-back	taigaio/taiga-back
jumpserver	jumpserver/jumpserver
cabot	arachnys/cabot
django-extensions	django-extensions/django-extensions
django-allauth	pennersr/django-allauth
django-tastypie	django-tastypie/django-tastypie
mezzanine	stephenmcd/mezzanine
Cactus	eudicots/Cactus
cookiecutter-django	pydanny/cookiecutter-django
django-crispy-forms	django-crispy-forms/django-crispy-forms
